turnoverNumber,buyTurnoverNumber,sellTurnoverNumber,sellQty,buyQty,buyVolUsd,sellVolUsd,volUsd
51.0,36.0,15.0,0,0,137847.89985,119519.6586794,257367.5585294
11.0,11.0,0.0,0,0,43014.64892,0.0,43014.64892
7.0,3.0,4.0,0,0,14452.6859,35354.61657,49807.30247
345.0,343.0,2.0,0,0,3632831.39584117,87.69507,3632919.09091117
21.0,14.0,7.0,0,0,57092.12224,20665.43027,77757.55251
210.0,194.0,16.0,0,0,5415801.81892539,398048.44309,5813850.26201539
285.0,257.0,28.0,0,0,4440124.95896459,184660.0235,4624784.98246459
27.0,21.0,6.0,0,0,21567.91007,16612.59934,38180.50941
274.0,267.0,7.0,0,0,2710000.66544603,204030.5215,2914031.18694603
53.0,48.0,5.0,0,0,653855.18771,20193.9685,674049.15621
183.0,154.0,29.0,0,0,1141073.06081488,238667.48905648,1379740.54987136
109.0,12.0,97.0,0,0,97630.63254,289129.00437,386759.63691
119.0,3.0,116.0,0,0,29009.22,2071932.34269,2100941.56269
30.0,24.0,6.0,0,0,213301.41082,43007.9457,256309.35652
118.0,4.0,114.0,0,0,1298.74309,704102.84754999,705401.59063999
9.0,9.0,0.0,0,0,24639.24617,0.0,24639.24617
34.0,34.0,0.0,0,0,207574.48365,0.0,207574.48365
8.0,2.0,6.0,0,0,26215.4174,88685.02534,114900.44274
81.0,2.0,79.0,0,0,813.60099,938347.00227,939160.60326
66.0,59.0,7.0,0,0,590884.05002,10160.12228,601044.1723
35.0,27.0,8.0,0,0,163695.93082,5734.8857822,169430.8166022
274.0,211.0,63.0,0,0,1794098.56152873,378456.393234,2172554.95476273
106.0,42.0,64.0,0,0,952460.22554,665210.12465,1617670.35019
171.0,152.0,19.0,0,0,951879.390283,158749.70177,1110629.092053
247.0,200.0,47.0,0,0,2824953.71602002,355086.52267,3180040.23869002
230.0,197.0,33.0,0,0,1261411.10706,129164.02917502,1390575.13623502
60.0,50.0,10.0,0,0,437092.81067,59450.64236,496543.45303
1315.0,968.0,347.0,0,0,12143465.36072207,2744264.06476233,14887729.4254844
373.0,180.0,193.0,0,0,2683759.5237903,2600214.78648804,5283974.31027834
170.0,153.0,17.0,0,0,1466378.21168,101976.92704,1568355.13872
124.0,68.0,56.0,0,0,709360.0052,365762.09205709,1075122.09725709
954.0,835.0,119.0,0,0,13060752.16512837,1277087.39751144,14337839.56263981
172.0,15.0,157.0,0,0,163172.02115,1723269.3468184,1886441.3679684
40.0,30.0,10.0,0,0,297926.43943,36072.17563,333998.61506
239.0,103.0,136.0,0,0,2223084.58406,1985712.98641,4208797.57047
73.0,15.0,58.0,0,0,24040.76029,320514.83901,344555.5993
97.0,14.0,83.0,0,0,29030.75741,854078.1283,883108.88571
61.0,61.0,0.0,0,0,224793.97838,0.0,224793.97838
193.0,167.0,26.0,0,0,2561308.62796248,318543.40575,2879852.03371248
22.0,17.0,5.0,0,0,111722.41018,18922.65854,130645.06872
219.0,176.0,43.0,0,0,1551440.76910999,1094142.58211,2645583.35121999
280.0,209.0,71.0,0,0,1444222.34231457,700062.46775,2144284.81006457
201.0,18.0,183.0,0,0,78411.544,1335850.93436,1414262.47836
125.0,26.0,99.0,0,0,359771.14,1304946.48983,1664717.62983
750.0,135.0,615.0,0,0,934948.34786,7801528.77620615,8736477.12406615
189.0,96.0,93.0,0,0,2605235.84823,824892.63684925,3430128.48507925
61.0,7.0,54.0,0,0,3098.7204,351864.82878,354963.54918
243.0,48.0,195.0,0,0,894518.53039,3058894.68251902,3953413.21290902
25.0,23.0,2.0,0,0,73782.85326,41137.0281,114919.88136
57.0,21.0,36.0,0,0,762473.2467,185336.8115578,947810.0582578
113.0,77.0,36.0,0,0,1647741.83288893,306468.30361,1954210.13649893
35.0,26.0,9.0,0,0,317144.23881,17147.50825,334291.74706
76.0,37.0,39.0,0,0,470653.68234998,282150.20117994,752803.88352992
46.0,30.0,16.0,0,0,194588.00168,127427.51168,322015.51336
130.0,121.0,9.0,0,0,897510.50517,57044.70588624,954555.21105624
40.0,2.0,38.0,0,0,194.2606,371310.1714,371504.432
29.0,4.0,25.0,0,0,11872.08368,64505.35055,76377.43423
17.0,14.0,3.0,0,0,33522.7731,5059.23524,38582.00834
73.0,2.0,71.0,0,0,193.86187,409327.3928228,409521.2546928
9.0,8.0,1.0,0,0,68697.4766,388.88802,69086.36462
223.0,4.0,219.0,0,0,2808.21078,3052424.98340614,3055233.19418614
63.0,23.0,40.0,0,0,628582.74072,457937.99169,1086520.73241
88.0,84.0,4.0,0,0,896926.96414,9885.29699,906812.26113
10.0,7.0,3.0,0,0,37608.11856,28632.2815,66240.40006
80.0,72.0,8.0,0,0,321109.33336998,62704.0184,383813.35176998
46.0,36.0,10.0,0,0,156744.5152,21161.36006,177905.87526
140.0,91.0,49.0,0,0,320105.59125,392421.03403,712526.62528
167.0,162.0,5.0,0,0,1453189.81742,1176.86785,1454366.68527
190.0,135.0,55.0,0,0,889697.91270147,298237.1395875,1187935.05228897
276.0,56.0,220.0,0,0,377591.71971,2543306.65567,2920898.37538
48.0,12.0,36.0,0,0,416139.93477,226897.13739,643037.07216
36.0,14.0,22.0,0,0,93463.26918,127953.96722,221417.2364
4.0,4.0,0.0,0,0,16302.538,0.0,16302.538
23.0,12.0,11.0,0,0,7531.84017,37624.45036,45156.29053
18.0,1.0,17.0,0,0,24.96774,179441.95807,179466.92581
38.0,35.0,3.0,0,0,657824.68604,14694.205,672518.89104
73.0,3.0,70.0,0,0,1958.65816,492166.96586,494125.62402
85.0,51.0,34.0,0,0,184422.00962,166303.24917,350725.25879
36.0,13.0,23.0,0,0,25083.43088,91266.04784475,116349.47872475
8.0,7.0,1.0,0,0,8437.88374,339.0968,8776.98054
209.0,209.0,0.0,0,0,2223968.05838,0.0,2223968.05838
10.0,4.0,6.0,0,0,9514.2773,10267.57312,19781.85042
47.0,1.0,46.0,0,0,180.55,244378.9626,244559.5126
124.0,75.0,49.0,0,0,1275844.22779,449872.32348,1725716.55127
565.0,544.0,21.0,0,0,4900875.41203669,119624.59663,5020500.00866669
271.0,148.0,123.0,0,0,917222.59123609,1012431.44728,1929654.03851609
81.0,36.0,45.0,0,0,271672.21783,908498.70503,1180170.92286
144.0,11.0,133.0,0,0,7504.98927,4198727.90596,4206232.89523
193.0,6.0,187.0,0,0,23084.08949,2215207.53390123,2238291.62339123
39.0,39.0,0.0,0,0,278823.12877,0.0,278823.12877
97.0,5.0,92.0,0,0,22855.76721,715068.76873,737924.53594
494.0,46.0,448.0,0,0,643950.1837,6803602.49595652,7447552.67965652
196.0,40.0,156.0,0,0,1251694.86198,1042867.04244,2294561.90442
95.0,8.0,87.0,0,0,88187.73355,2322190.84179997,2410378.57534997
78.0,72.0,6.0,0,0,421626.61749448,3576.78882,425203.40631448
34.0,33.0,1.0,0,0,86080.27779,178.512,86258.78979
53.0,48.0,5.0,0,0,470798.19986,4692.09541,475490.29527
68.0,66.0,2.0,0,0,1069846.16332,9745.182,1079591.34532
13.0,10.0,3.0,0,0,67578.05271,202269.9241,269847.97681
68.0,68.0,0.0,0,0,175390.937799,0.0,175390.937799
51.0,43.0,8.0,0,0,439541.16576,35064.3185,474605.48426
56.0,2.0,54.0,0,0,552.49519,2159656.85276,2160209.34795
158.0,11.0,147.0,0,0,45442.2881,2264163.717328,2309606.005428
74.0,47.0,27.0,0,0,169959.622428,250639.19955,420598.821978
10.0,3.0,7.0,0,0,898435.19226,20543.7542,918978.94646
37.0,28.0,9.0,0,0,837743.2924,14915.36737,852658.65977
12.0,2.0,10.0,0,0,18479.121,107869.55626,126348.67726
4.0,3.0,1.0,0,0,14083.9355,1088.9232,15172.8587
103.0,0.0,103.0,0,0,0.0,507580.53393,507580.53393
21.0,17.0,4.0,0,0,42272.61985,5737.50568,48010.12553
17.0,14.0,3.0,0,0,52299.68242,7872.18372,60171.86614
10.0,0.0,10.0,0,0,0.0,71965.3228,71965.3228
64.0,3.0,61.0,0,0,2207.0832,277091.41187751,279298.49507751
60.0,56.0,4.0,0,0,263563.70481,2140.302,265704.00681
9.0,5.0,4.0,0,0,18568.4262,2007.77852,20576.20472
130.0,3.0,127.0,0,0,18700.24211,617675.18337,636375.42548
48.0,44.0,4.0,0,0,239504.52145,60598.40674,300102.92819
69.0,2.0,67.0,0,0,304.1264,449438.02205,449742.14845
275.0,19.0,256.0,0,0,160681.40588,3185977.99499092,3346659.40087092
131.0,48.0,83.0,0,0,166168.32591,673131.09499,839299.4209
27.0,27.0,0.0,0,0,726896.33734,0.0,726896.33734
65.0,65.0,0.0,0,0,542261.94253152,0.0,542261.94253152
4.0,3.0,1.0,0,0,20567.9442,5164.39456,25732.33876
3.0,1.0,2.0,0,0,890.82,189.09215,1079.91215
3.0,3.0,0.0,0,0,20514.8263,0.0,20514.8263
8.0,5.0,3.0,0,0,5921.37382,22616.32836,28537.70218
4.0,3.0,1.0,0,0,247373.6467,1035.79518,248409.44188
91.0,90.0,1.0,0,0,277245.71349,5002.92936,282248.64285
7.0,4.0,3.0,0,0,25001.12928,4974.6201,29975.74938
12.0,10.0,2.0,0,0,5840.64718,1439.7476,7280.39478
33.0,29.0,4.0,0,0,289600.47609465,32706.0867,322306.56279465
6.0,1.0,5.0,0,0,418.73598,5885.82550136,6304.56148136
3.0,1.0,2.0,0,0,295.19655,2192.5743,2487.77085
3.0,0.0,3.0,0,0,0.0,4803.6104,4803.6104
,,,0,0,,,
1.0,1.0,0.0,0,0,178.936,0.0,178.936
126.0,93.0,33.0,0,0,615392.79067998,140523.7543,755916.54497998
75.0,4.0,71.0,0,0,15796.13209,1004819.39376,1020615.52585
8.0,7.0,1.0,0,0,23857.48332,535.53,24393.01332
16.0,15.0,1.0,0,0,170188.43034,427.2312,170615.66154
4.0,4.0,0.0,0,0,17832.2633,0.0,17832.2633
6.0,1.0,5.0,0,0,17.973,228559.2943,228577.2673
2.0,0.0,2.0,0,0,0.0,67.90477,67.90477
17.0,1.0,16.0,0,0,21.2436,57378.5094,57399.753
35.0,0.0,35.0,0,0,0.0,187256.20126,187256.20126
11.0,2.0,9.0,0,0,4468.32984,49385.19403744,53853.52387744
3.0,2.0,1.0,0,0,3721.1878,39.22776,3760.41556
34.0,1.0,33.0,0,0,57.03808,328031.87458,328088.91266
